household_id,address,monthly_budget_limit,created_at,location_id
1,473 Ridge Oak Alley,477,2025-06-24,136
2,85164 Dahle Lane,328,2018-11-10,142
3,68916 Hintze Terrace,402,2023-08-21,99
4,63 Stuart Park,187,2022-09-08,175
5,03092 Fordem Terrace,354,2023-08-29,26
6,9 Cordelia Terrace,370,2015-03-15,95
7,6 Meadow Valley Pass,414,2015-12-10,19
8,608 Lighthouse Bay Plaza,272,2021-03-10,131
9,7959 Mifflin Plaza,322,2016-11-21,92
10,52970 Grayhawk Street,1251,2019-11-18,117
11,8809 Waubesa Junction,61,2018-10-02,104
12,630 Schurz Point,163,2022-07-13,169
13,46 Holy Cross Court,99,2016-05-09,57
14,085 Garrison Road,156,2024-07-15,117
15,111 Caliangt Plaza,144,2019-03-14,132
16,483 Village Green Court,407,2024-02-12,148
17,31 Memorial Alley,398,2025-02-03,22
18,47165 Sloan Crossing,405,2018-08-22,90
19,7690 Thompson Crossing,239,2021-11-20,13
20,46 Weeping Birch Avenue,168,2022-01-02,74
21,9158 Donald Road,337,2021-04-04,32
22,559 Melrose Place,2416,2022-08-19,166
23,47 Hauk Place,302,2025-04-25,69
24,5515 Westerfield Park,361,2018-05-08,14
25,1529 Roth Circle,2667,2021-01-28,125
26,1 Spohn Lane,255,2021-07-31,83
27,1 1st Street,132,2023-04-09,171
28,0214 Scofield Center,256,2020-01-12,134
29,6 Eastwood Street,211,2019-12-06,123
30,409 Maywood Plaza,61,2025-01-10,111
31,5553 Arizona Plaza,346,2017-01-04,88
32,821 Welch Trail,407,2015-06-25,101
33,7 Forest Lane,1843,2024-03-24,95
34,3074 Novick Pass,2861,2023-12-23,187
35,64551 Algoma Alley,1599,2020-06-29,66
36,9105 Oriole Center,179,2021-03-03,199
37,0 North Parkway,264,2023-03-04,135
38,73 Hermina Terrace,126,2019-04-17,88
39,07 Hanover Circle,162,2019-12-31,194
40,37 Schlimgen Trail,492,2020-12-26,173
41,87842 Golden Leaf Trail,391,2019-11-22,122
42,58778 Brentwood Junction,357,2015-07-27,123
43,7044 La Follette Crossing,207,2022-10-04,135
44,8273 Lerdahl Street,483,2021-10-15,94
45,989 Prentice Center,3735,2018-11-30,186
46,4 Spenser Junction,355,2021-01-22,50
47,646 Tomscot Street,204,2020-03-08,153
48,899 Chinook Court,157,2020-12-08,60
49,23 Homewood Parkway,529,2024-08-22,152
50,2 Leroy Parkway,444,2017-09-21,172
51,306 Becker Trail,277,2025-01-17,80
52,55684 Northwestern Plaza,457,2023-12-15,87
53,4 Claremont Crossing,298,2024-08-04,92
54,1504 Express Park,416,2020-07-31,169
55,666 Vernon Junction,815,2023-06-12,160
56,82 Cordelia Place,50,2015-03-26,187
57,19806 Del Mar Crossing,280,2024-05-06,6
58,1113 Loftsgordon Plaza,2868,2019-01-11,104
59,15406 Service Center,824,2020-09-22,106
60,433 Troy Avenue,333,2023-11-11,36
61,6828 4th Hill,452,2018-05-07,146
