payment_method_id,method_name,provider,account_number,expiry_date
1796,Cash,Visa,3140-8357-6812-7537,6/25/2023
7352,Credit Card,Cash,4803-0528-4842-6435,6/16/2017
3727,PayPal,Venmo,6841-9560-1525-4625,5/5/2020
1260,Cash,Cash,0621-0110-7764-2139,8/27/2018
7597,PayPal,PayPal,9986-6291-5209-5066,10/6/2020
8818,Cash,Visa,7763-2122-3346-8552,8/25/2019
5053,Debit Card,Square,0410-1111-7443-4171,9/20/2018
6603,Credit Card,PayPal,9142-7111-0879-7276,2/27/2017
2928,Cash,Visa,5571-6226-7738-8646,2/3/2018
1279,Bank Transfer,Amazon Pay,0081-3039-9150-4203,12/19/2015
5985,PayPal,Cash,1171-0918-7755-2972,5/9/2018
5017,Credit Card,PayPal,4340-3067-8725-3015,10/26/2024
9831,Credit Card,Cash,8805-8208-4233-3269,1/19/2022
7349,Credit Card,Apple Pay,0848-4300-6146-8250,12/10/2018
7289,Bank Transfer,Apple Pay,5622-3774-2742-6426,1/21/2017
4933,Cash,PayPal,7059-3345-4212-2683,3/26/2024
7821,PayPal,PayPal,6763-4760-9997-6475,9/19/2016
5889,PayPal,Apple Pay,5516-6860-9252-8553,3/15/2025
5009,PayPal,Visa,5737-8805-7046-9493,2/7/2020
6214,Debit Card,PayPal,6867-7084-8230-5849,4/17/2015
3657,Bank Transfer,Square,5668-5021-7814-5692,10/31/2016
8833,PayPal,Apple Pay,4551-4801-2413-0304,11/3/2020
7178,Credit Card,Visa,9323-2574-7411-0860,8/25/2017
3126,Credit Card,Apple Pay,7767-2128-9166-0795,5/2/2018
7071,Cash,Cash,8910-2586-6406-1630,5/7/2023
2836,Bank Transfer,Visa,3405-7165-9567-5112,10/8/2024
1504,Cash,Google Pay,8409-9424-1707-2344,11/13/2019
9226,Cash,Apple Pay,4134-3531-3925-3538,5/17/2019
3924,Credit Card,MasterCard,0738-8018-3352-9488,9/18/2025
9364,Bank Transfer,Cash,3291-5074-7236-1589,6/18/2018
4770,Cash,Cash,6777-9684-9901-0635,7/7/2018
4450,Cash,Apple Pay,9189-8370-2552-9841,3/29/2017
7252,PayPal,Amazon Pay,9592-5400-8841-2638,5/8/2015
5143,Cash,Apple Pay,3867-9168-7613-1449,3/16/2025
9152,Credit Card,Google Pay,7004-5157-1955-1093,9/30/2016
4623,Credit Card,Apple Pay,7350-6762-3675-8552,5/31/2017
3374,Cash,Amazon Pay,1224-2091-3853-8083,9/14/2022
9751,PayPal,Venmo,1779-0457-2403-5593,3/28/2024
3360,Debit Card,Google Pay,3928-4658-4908-8035,4/8/2024
4429,PayPal,MasterCard,1064-9368-3936-4421,11/28/2020
6259,Bank Transfer,Apple Pay,3374-8579-7784-3449,1/11/2023
5626,PayPal,Apple Pay,4828-6138-3655-8887,11/20/2019
1656,Bank Transfer,Cash,2780-8960-1932-6580,4/19/2017
9900,Credit Card,Square,6603-0741-5541-9169,5/1/2021
9019,PayPal,PayPal,0860-4511-7842-8973,1/23/2020
3892,Debit Card,Visa,2797-7748-2459-9048,5/13/2015
8507,Debit Card,Square,3132-7533-8956-2205,9/5/2024
1972,Bank Transfer,Venmo,1622-2711-8663-0778,9/22/2020
7929,Credit Card,MasterCard,9898-4262-2856-0253,1/27/2025
8887,Debit Card,MasterCard,2792-5501-8676-1319,6/8/2020
7054,Bank Transfer,Visa,7804-7390-0031-1836,6/25/2018
7001,Debit Card,Stripe,2972-1822-9106-4218,10/27/2019
3431,Credit Card,Square,0805-2430-4529-6359,12/5/2021
2223,PayPal,Google Pay,7239-6504-0096-0556,2/1/2022
3677,Credit Card,Stripe,7972-5507-3567-7216,11/11/2018
9227,Credit Card,Venmo,3088-5729-0084-3005,8/4/2022
3920,Cash,PayPal,1300-9947-6856-7616,2/1/2019
6046,Bank Transfer,Visa,5303-1657-6796-8044,7/17/2018
8176,Credit Card,Stripe,1226-0876-2821-0934,2/12/2018
6749,Bank Transfer,Venmo,1722-9952-0932-6308,5/31/2025
2419,PayPal,Visa,9875-6122-2487-2868,10/20/2023
8231,Credit Card,Google Pay,8460-3802-6997-6549,4/2/2022
4626,Bank Transfer,Stripe,3123-1648-0223-4358,3/28/2019
1250,PayPal,Venmo,8296-9000-8216-7089,6/17/2019
4501,Cash,Stripe,4738-5087-2836-5232,8/9/2020
2443,PayPal,MasterCard,6139-3393-3360-4210,10/9/2015
9192,Credit Card,Stripe,8118-7240-3861-0545,2/12/2020
3770,Cash,PayPal,2680-4208-2611-2981,8/2/2024
1601,Bank Transfer,Square,2328-6054-2540-9807,10/28/2015
7585,Credit Card,MasterCard,7998-8959-7545-2100,3/30/2025
5710,PayPal,Google Pay,6388-0544-3564-9628,6/28/2022
7007,Cash,PayPal,2722-2037-3816-5012,4/6/2025
1266,Bank Transfer,Venmo,2920-5100-3307-4818,7/12/2022
5534,Credit Card,Visa,7611-5977-7616-6766,9/10/2016
